domain,focal_seed,peer_seed,schedule,family,focal_baseline_risk,peer_baseline_risk,active,cliff,self_rmse,peer_rmse
CIFAR-10-C,47,61,severity,jpeg_compression,0.3347,0.3349,True,False,2.3013707539344673e-17,0.005406662556513027
CIFAR-10-C,61,47,severity,gaussian_noise,0.3349,0.3347,True,True,3.697851079363442e-17,0.03670771036172103
CIFAR-10-C,61,47,severity,shot_noise,0.3349,0.3347,True,True,5.985173094038517e-17,0.03439447630070854
CIFAR-10-C,61,47,severity,impulse_noise,0.3349,0.3347,True,True,2.237726045655905e-17,0.012147263066221966
CIFAR-10-C,61,47,severity,defocus_blur,0.3349,0.3347,True,True,3.254629732262919e-17,0.008689303769577852
CIFAR-10-C,61,47,severity,glass_blur,0.3349,0.3347,True,True,4.322212449724815e-17,0.04637298782696671
CIFAR-10-C,61,47,severity,motion_blur,0.3349,0.3347,True,True,3.838406449890678e-17,0.00971092168643123
CIFAR-10-C,61,47,severity,zoom_blur,0.3349,0.3347,True,True,3.57874756446653e-17,0.006837982158502607
CIFAR-10-C,61,47,severity,snow,0.3349,0.3347,True,True,3.224906463711944e-17,0.023185857758556205
CIFAR-10-C,61,47,severity,frost,0.3349,0.3347,True,True,3.5245209804025386e-17,0.015140607649628872
CIFAR-10-C,61,47,severity,fog,0.3349,0.3347,True,True,3.7367087251761353e-17,0.009276313923105425
CIFAR-10-C,61,47,severity,brightness,0.3349,0.3347,True,False,1.986996825864056e-17,0.0037301474501686923
CIFAR-10-C,61,47,severity,contrast,0.3349,0.3347,True,True,2.9764538874609305e-17,0.009212817158719676
CIFAR-10-C,61,47,severity,elastic_transform,0.3349,0.3347,True,False,1.642041997679149e-17,0.009268764750493996
CIFAR-10-C,61,47,severity,pixelate,0.3349,0.3347,True,True,3.825842074281555e-17,0.02559124850412735
CIFAR-10-C,61,47,severity,jpeg_compression,0.3349,0.3347,True,False,2.237726045655905e-17,0.00540666255651303
